file_id: 0, z: 75, prec: 0.07000000029802322, recall: 0.0
file_id: 1, z: 123, prec: 0.5199999809265137, recall: 0.23000000417232513
file_id: 2, z: 501, prec: 0.5799999833106995, recall: 0.949999988079071
file_id: 3, z: 466, prec: 0.6399999856948853, recall: 0.8199999928474426
file_id: 4, z: 455, prec: 0.11999999731779099, recall: 0.3700000047683716
file_id: 5, z: 605, prec: 0.07000000029802322, recall: 0.6600000262260437
file_id: 6, z: 588, prec: 0.3100000023841858, recall: 0.8100000023841858
file_id: 7, z: 565, prec: 0.0, recall: 0.0
file_id: 8, z: 689, prec: 0.8600000143051147, recall: 0.8500000238418579
file_id: 9, z: 826, prec: 0.699999988079071, recall: 0.9800000190734863
file_id: 10, z: 845, prec: 0.7599999904632568, recall: 0.6800000071525574
file_id: 11, z: 547, prec: 0.30000001192092896, recall: 0.7200000286102295
file_id: 12, z: 517, prec: 0.7699999809265137, recall: 0.7900000214576721
file_id: 13, z: 574, prec: 0.019999999552965164, recall: 0.4300000071525574
file_id: 14, z: 437, prec: 0.7699999809265137, recall: 0.2199999988079071
file_id: 15, z: 247, prec: 0.47999998927116394, recall: 0.9900000095367432
file_id: 16, z: 391, prec: 0.5, recall: 1.0
file_id: 17, z: 276, prec: 0.0, recall: 0.0
file_id: 18, z: 601, prec: 0.1599999964237213, recall: 0.8600000143051147
file_id: 19, z: 668, prec: 0.6899999976158142, recall: 0.9900000095367432
file_id: 20, z: 861, prec: 0.6200000047683716, recall: 0.9399999976158142
file_id: 21, z: 534, prec: 0.33000001311302185, recall: 0.8100000023841858
file_id: 22, z: 841, prec: 0.75, recall: 0.9900000095367432
file_id: 23, z: 537, prec: 0.0, recall: 0.0
file_id: 24, z: 518, prec: 0.550000011920929, recall: 0.9900000095367432
file_id: 25, z: 541, prec: 0.6100000143051147, recall: 0.9900000095367432
file_id: 26, z: 541, prec: 0.5799999833106995, recall: 0.9700000286102295
file_id: 27, z: 549, prec: 0.5400000214576721, recall: 0.9900000095367432
